"ticker","company_name","sector","industry","market_cap_category"
"MEDICAMEQ.NS","Medicamen Biotech Limited","Other","Other","Other"
"MEDICO.NS","Medico Remedies Limited","Other","Other","Other"
"MEDPLUS.NS","Medplus Health Services Limited","Other","Other","Other"
"MEESHO.NS","Meesho Limited","Consumer Cyclical","Consumer Services","Small Cap"
"MEGASTAR.NS","Megastar Foods Limited","Other","Other","Other"
"MENNPIS.NS","Menon Pistons Limited","Other","Other","Other"
"MENONBE.NS","Menon Bearings Limited","Other","Other","Other"
"MERCANTILE.NS","Mercantile Ventures Limited","Other","Other","Other"
"METROBRAND.NS","Metro Brands Limited","Other","Other","Other"
"METROGLOBL.NS","Metroglobal Limited","Other","Other","Other"
"METROPOLIS.NS","Metropolis Healthcare Limited","Other","Other","Other"
"MFML.NS","Mahalaxmi Fabric Mills Limited","Other","Other","Other"
"MFSL.NS","Max Financial Services Limited","Financial Services","Financial Services","Mid Cap"
"MGL.NS","Mahanagar Gas Limited","Energy","Oil Gas & Consumable Fuels","Small Cap"
"MHLXMIRU.NS","Mahalaxmi Rubtech Limited","Other","Other","Other"
"MHRIL.NS","Mahindra Holidays & Resorts India Limited","Other","Other","Other"
"MICEL.NS","MIC Electronics Limited","Other","Other","Other"
"MIDHANI.NS","Mishra Dhatu Nigam Limited","Other","Other","Other"
"MIDWESTLTD.NS","Midwest Limited","Other","Other","Other"
"MINDACORP.NS","Minda Corporation Limited","Consumer Cyclical","Automobile and Auto Components","Small Cap"
"MINDTECK.NS","Mindteck (India) Limited","Other","Other","Other"
"MIRZAINT.NS","Mirza International Limited","Other","Other","Other"
"MITTAL.NS","Mittal Life Style Limited","Other","Other","Other"
"MKPL.NS","M K Proteins Limited","Other","Other","Other"
"MMFL.NS","MM Forgings Limited","Other","Other","Other"
"MMP.NS","MMP Industries Limited","Other","Other","Other"
"MMTC.NS","MMTC Limited","Industrials","Services","Small Cap"
"MOBIKWIK.NS","One Mobikwik Systems Limited","Other","Other","Other"
"MODIRUBBER.NS","Modi Rubber Limited","Other","Other","Other"
"MODIS.NS","Modis Navnirman Limited","Other","Other","Other"
"MODTHREAD.NS","Modern Threads (India) Limited","Other","Other","Other"
"MOHITIND.NS","Mohit Industries Limited","Other","Other","Other"
"MOIL.NS","MOIL Limited","Other","Other","Other"
"MOKSH.NS","Moksh Ornaments Limited","Other","Other","Other"
"MOL.NS","Meghmani Organics Limited","Other","Other","Other"
"MOLDTECH.NS","Mold-Tek Technologies Limited","Other","Other","Other"
"MOLDTKPAC.NS","Mold-Tek Packaging Limited","Other","Other","Other"
"MONARCH.NS","Monarch Networth Capital Limited","Other","Other","Other"
"MONEYBOXX.NS","Moneyboxx Finance Limited","Other","Other","Other"
"MONTECARLO.NS","Monte Carlo Fashions Limited","Other","Other","Other"
"MOREPENLAB.NS","Morepen Laboratories Limited","Other","Other","Other"
"MOSCHIP.NS","Moschip Technologies Limited","Other","Other","Other"
"MOTHERSON.NS","Samvardhana Motherson International Limited","Consumer Cyclical","Automobile and Auto Components","Large Cap"
"MOTILALOFS.NS","Motilal Oswal Financial Services Limited","Financial Services","Financial Services","Mid Cap"
"MOTISONS.NS","Motisons Jewellers Limited","Other","Other","Other"
"MPHASIS.NS","MphasiS Limited","Technology","Information Technology","Mid Cap"
"MPSLTD.NS","MPS Limited","Other","Other","Other"
"MRF.NS","MRF Limited","Consumer Cyclical","Automobile and Auto Components","Mid Cap"
"MRPL.NS","Mangalore Refinery and Petrochemicals Limited","Energy","Oil Gas & Consumable Fuels","Small Cap"
"MSPL.NS","MSP Steel & Power Limited","Other","Other","Other"
"MSTCLTD.NS","Mstc Limited","Other","Other","Other"
"MSUMI.NS","Motherson Sumi Wiring India Limited","Consumer Cyclical","Automobile and Auto Components","Small Cap"
"MTARTECH.NS","Mtar Technologies Limited","Other","Other","Other"
"MTNL.NS","Mahanagar Telephone Nigam Limited","Other","Other","Other"
"MUFIN.NS","Mufin Green Finance Limited","Other","Other","Other"
"MUFTI.NS","Credo Brands Marketing Limited","Other","Other","Other"
"MUKANDLTD.NS","Mukand Limited","Other","Other","Other"
"MUKKA.NS","Mukka Proteins Limited","Other","Other","Other"
"MUKTAARTS.NS","Mukta Arts Limited","Other","Other","Other"
"MUNJALAU.NS","Munjal Auto Industries Limited","Other","Other","Other"
"MUNJALSHOW.NS","Munjal Showa Limited","Other","Other","Other"
"MURUDCERA.NS","Murudeshwar Ceramics Limited","Other","Other","Other"
"MUTHOOTCAP.NS","Muthoot Capital Services Limited","Other","Other","Other"
